Lot Frontage,Lot Area,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,PID,MS SubClass,MS Zoning,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Sale Type,Sale Condition
96.0,12456,2006,2007,230.0,1172.0,0.0,528.0,1700.0,1718,0,0,1718,1.0,0.0,2,0,3,1,7,1,3.0,786.0,216,48,0,0,0,0,0,7,2009,528102040,20,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,CemntBd,CmentBd,Stone,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,2008.0,Fin,TA,TA,Y,WD ,Normal
71.0,9520,2007,2008,338.0,1513.0,0.0,125.0,1638.0,1646,0,0,1646,1.0,0.0,2,0,3,1,7,1,3.0,800.0,192,44,0,0,0,0,0,4,2008,916382120,20,RL,Pave,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,2008.0,RFn,TA,TA,Y,New,Partial
70.0,9170,1965,1965,0.0,698.0,96.0,420.0,1214.0,1214,0,0,1214,1.0,0.0,1,0,2,1,6,0,2.0,461.0,0,0,184,0,0,0,400,4,2007,908102100,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Feedr,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,GLQ,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,1965.0,Unf,Fa,Fa,Y,WD ,Normal
80.0,12048,1952,2002,232.0,0.0,0.0,0.0,0.0,1488,0,0,1488,0.0,0.0,1,0,3,1,7,1,2.0,569.0,0,189,36,0,348,0,0,4,2006,905451050,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,Slab,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Ex,Attchd,2002.0,RFn,TA,TA,Y,WD ,Normal
69.0,9000,1947,1950,0.0,0.0,0.0,0.0,0.0,660,0,0,660,0.0,0.0,1,0,2,1,5,0,0.0,0.0,0,0,100,0,0,0,0,6,2009,905228050,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,Slab,Gd,TA,No,GLQ,Unf,GasA,Fa,N,SBrkr,Fa,Min2,Gd,Attchd,1981.0,Unf,TA,TA,N,WD ,Normal
50.0,4960,1930,1982,0.0,0.0,0.0,297.0,297.0,1001,653,0,1654,0.0,0.0,2,0,3,1,7,1,1.0,336.0,244,60,0,0,0,0,0,5,2009,903202170,70,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,1955.0,Unf,TA,TA,N,WD ,Normal
94.0,10402,2009,2009,0.0,0.0,0.0,1226.0,1226.0,1226,0,0,1226,0.0,0.0,2,0,3,1,6,0,3.0,740.0,0,36,0,0,0,0,0,5,2010,906385010,20,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,2009.0,RFn,TA,TA,Y,WD ,Normal
69.0,7703,1978,1978,40.0,450.0,0.0,0.0,450.0,1034,0,0,1034,0.0,1.0,1,0,3,1,6,1,2.0,504.0,311,0,0,0,0,0,0,5,2008,905107280,85,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,BrkCmn,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Po,Basment,1978.0,Fin,TA,TA,Y,WD ,Normal
60.0,7200,1910,2008,0.0,0.0,0.0,560.0,560.0,930,760,0,1690,0.0,0.0,2,0,4,1,5,0,2.0,624.0,0,0,112,0,0,0,0,8,2009,535382100,70,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,Gd,PConc,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Detchd,2008.0,Unf,TA,TA,Y,WD ,Normal
95.0,13015,1996,1996,0.0,0.0,0.0,1100.0,1100.0,1100,0,0,1100,0.0,0.0,1,1,3,1,5,0,2.0,462.0,0,0,0,0,0,0,0,6,2006,907125080,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,Gd,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Attchd,1996.0,RFn,TA,TA,Y,WD ,Normal
75.0,8250,1895,2006,0.0,0.0,0.0,957.0,957.0,1034,957,0,1991,0.0,0.0,2,0,4,2,9,0,0.0,0.0,0,0,133,0,0,0,0,6,2007,911103060,190,C (all),Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,Gd,CBlock,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,TA,Typ,Gd,Attchd,1981.0,Unf,TA,TA,N,WD ,Normal
69.0,12366,1945,1950,0.0,0.0,0.0,0.0,0.0,729,0,0,729,0.0,0.0,1,0,2,1,5,0,0.0,0.0,0,0,23,0,0,0,0,10,2006,911175410,30,C (all),Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,Slab,Gd,TA,No,GLQ,Unf,GasA,TA,N,SBrkr,TA,Mod,Gd,Attchd,1981.0,Unf,TA,TA,N,WD ,Abnorml
63.0,8500,2004,2004,106.0,0.0,0.0,1422.0,1422.0,1422,0,0,1422,0.0,0.0,2,0,3,1,7,0,2.0,626.0,192,60,0,0,0,0,0,11,2007,907414060,20,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,2004.0,RFn,TA,TA,Y,WD ,Normal
69.0,15584,1956,1956,366.0,0.0,0.0,825.0,825.0,2071,0,0,2071,0.0,1.0,1,1,4,1,9,1,1.0,336.0,131,28,0,0,0,0,0,10,2009,905225090,80,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,Mn,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,1956.0,Unf,TA,TA,Y,WD ,Normal
74.0,11988,1934,1995,0.0,326.0,0.0,389.0,715.0,849,811,0,1660,0.0,0.0,1,1,3,1,6,1,1.0,240.0,0,0,0,0,0,0,0,8,2008,909276170,70,RL,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,Hip,CompShg,Stucco,Stucco,BrkFace,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,Fa,Y,FuseA,TA,Typ,Gd,Detchd,1939.0,Unf,TA,TA,Y,WD ,Normal
69.0,10784,1991,1992,76.0,0.0,0.0,384.0,384.0,802,670,0,1472,0.0,0.0,2,1,3,1,7,1,2.0,402.0,164,0,0,0,0,0,0,5,2007,527165020,80,RL,Pave,IR1,Lvl,AllPub,FR2,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,1991.0,RFn,TA,TA,Y,WD ,Normal
69.0,9830,1959,2006,0.0,72.0,258.0,733.0,1063.0,1287,0,0,1287,1.0,0.0,1,0,3,1,7,1,2.0,576.0,364,17,0,0,182,0,0,3,2010,535401080,20,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,Gd,CBlock,TA,TA,No,ALQ,Rec,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Detchd,1997.0,Fin,TA,TA,Y,WD ,Normal
60.0,6000,1905,2005,0.0,0.0,0.0,572.0,572.0,884,656,0,1540,0.0,0.0,1,1,3,1,7,0,0.0,0.0,240,77,0,0,0,0,0,2,2008,902306120,70,RM,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,BrkTil,Fa,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,1981.0,Unf,TA,TA,N,WD ,Normal
60.0,9873,1970,1970,160.0,789.0,0.0,171.0,960.0,960,0,0,960,1.0,0.0,1,0,3,1,6,0,2.0,576.0,0,288,0,0,0,0,0,5,2006,903425340,190,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,2fmCon,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,GasW,TA,N,SBrkr,TA,Typ,Gd,Detchd,1970.0,Unf,TA,TA,Y,WD ,Normal
60.0,9600,1900,1950,0.0,0.0,0.0,1095.0,1095.0,1095,679,0,1774,1.0,0.0,2,0,4,2,8,0,3.0,779.0,0,0,90,0,0,0,0,5,2006,902305090,70,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,AsbShng,Stucco,BrkFace,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,GasW,Fa,N,SBrkr,TA,Min2,Gd,2Types,1920.0,Unf,Fa,Fa,N,WD ,Normal
121.0,16059,1991,1992,284.0,0.0,0.0,1288.0,1288.0,1301,1116,0,2417,0.0,0.0,2,1,4,1,9,1,2.0,462.0,127,82,0,0,0,0,0,4,2006,533110130,60,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,CBlock,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,1991.0,Unf,TA,TA,Y,WD ,Normal
77.0,9278,2007,2008,0.0,0.0,0.0,1092.0,1092.0,1092,0,0,1092,0.0,0.0,1,0,2,1,5,0,0.0,0.0,0,52,0,0,0,0,0,2,2008,923202137,20,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Feedr,Artery,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Attchd,1981.0,Unf,TA,TA,Y,WD ,Abnorml
62.0,7692,1954,1954,0.0,0.0,0.0,416.0,416.0,1204,0,0,1204,0.0,0.0,1,0,3,1,6,0,1.0,312.0,0,0,0,0,0,0,0,11,2008,908276140,80,RL,Pave,Reg,Bnk,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,SLvl,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Ex,TA,Av,Unf,Unf,GasA,Gd,Y,FuseA,TA,Typ,Gd,Basment,1954.0,Unf,TA,TA,Y,WD ,Abnorml
90.0,9900,1910,2002,0.0,0.0,0.0,504.0,504.0,764,700,0,1464,0.0,0.0,2,0,3,1,7,0,0.0,0.0,0,0,176,0,0,0,0,3,2009,902105060,70,RM,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Attchd,1981.0,Unf,TA,TA,N,WD ,Normal
60.0,7200,1910,1998,0.0,1046.0,0.0,168.0,1214.0,1260,1031,0,2291,0.0,1.0,2,0,4,2,9,1,2.0,506.0,0,0,0,0,99,0,0,11,2007,902332030,190,C (all),Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,2fmCon,2.5Unf,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,TA,Fa,Mn,Rec,Unf,GasW,Ex,N,SBrkr,TA,Typ,Gd,Detchd,1900.0,Unf,TA,TA,Y,WD ,Normal
68.0,9017,1999,1999,0.0,560.0,0.0,871.0,1431.0,1431,0,0,1431,1.0,0.0,2,0,3,1,6,0,2.0,666.0,0,35,0,0,0,0,0,9,2009,907181100,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,1999.0,Fin,TA,TA,Y,WD ,Normal
75.0,8004,2009,2009,110.0,544.0,0.0,288.0,832.0,832,1103,0,1935,1.0,0.0,2,1,3,1,8,0,2.0,552.0,0,150,0,0,0,0,0,12,2009,527365030,60,FV,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,BuiltIn,2009.0,Fin,TA,TA,Y,New,Partial
88.0,11762,1992,1993,309.0,335.0,0.0,770.0,1105.0,1105,1097,0,2202,1.0,0.0,2,1,4,1,9,1,2.0,517.0,0,65,0,0,144,0,0,9,2007,528366070,60,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,1992.0,RFn,TA,TA,Y,WD ,Normal
70.0,9100,1962,1962,51.0,36.0,0.0,952.0,988.0,988,0,0,988,1.0,0.0,1,0,3,1,6,0,2.0,624.0,0,0,0,0,0,0,0,7,2006,532351060,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,1977.0,Unf,TA,TA,Y,WD ,Normal
85.0,13143,1993,1993,504.0,250.0,981.0,0.0,1231.0,1251,1098,0,2349,1.0,0.0,2,1,4,1,9,1,3.0,762.0,32,130,0,0,0,0,0,6,2010,533130130,60,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,ImStucc,BrkFace,Gd,TA,PConc,Gd,TA,No,LwQ,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,1993.0,RFn,TA,TA,Y,WD ,Normal
75.0,9317,1994,2001,0.0,497.0,0.0,282.0,779.0,1029,929,0,1958,1.0,0.0,2,1,3,1,7,1,2.0,499.0,202,93,0,0,0,0,0,7,2007,906223040,60,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,Gd,PConc,Gd,Gd,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,1994.0,RFn,TA,TA,Y,CWD,Normal
78.0,9978,1998,1998,20.0,602.0,0.0,324.0,926.0,926,678,0,1604,0.0,0.0,2,1,3,1,7,1,2.0,470.0,360,36,0,0,0,0,0,6,2010,527105030,60,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,1998.0,Fin,TA,TA,Y,WD ,Normal
34.0,5001,2007,2008,166.0,904.0,0.0,410.0,1314.0,1314,0,0,1314,1.0,0.0,2,0,2,1,6,1,2.0,626.0,172,62,0,0,0,0,0,7,2009,528175060,120,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,2008.0,RFn,TA,TA,Y,WD ,Normal
85.0,10533,1956,1956,244.0,773.0,0.0,235.0,1008.0,1024,0,0,1024,1.0,0.0,1,0,2,1,5,2,1.0,313.0,0,0,0,0,280,0,0,8,2006,526302040,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,TA,Gd,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,Gd,Typ,TA,Attchd,1956.0,Unf,TA,TA,Y,WD ,Normal
28.0,7296,2004,2005,0.0,1965.0,0.0,243.0,2208.0,2522,0,0,2522,1.0,0.0,2,0,1,1,8,1,2.0,564.0,182,57,0,0,0,0,0,11,2009,527127100,120,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,BrkFace,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,2004.0,Fin,TA,TA,Y,WD ,Normal
69.0,11000,2000,2000,295.0,0.0,0.0,1519.0,1519.0,1533,639,0,2172,0.0,0.0,2,1,4,1,8,1,3.0,687.0,162,153,0,0,0,0,0,6,2008,528326110,60,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Mn,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,TA,BuiltIn,2000.0,RFn,TA,TA,Y,WD ,Normal
40.0,4800,1916,1990,0.0,197.0,0.0,999.0,1196.0,1196,0,0,1196,1.0,0.0,1,0,2,1,5,0,2.0,440.0,0,0,0,0,0,0,0,7,2007,903458060,30,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,Ex,Y,FuseA,TA,Typ,Gd,Detchd,1957.0,Unf,TA,TA,Y,WD ,Normal
70.0,9370,1992,1993,0.0,758.0,0.0,78.0,836.0,844,887,0,1731,1.0,0.0,2,1,3,1,7,0,2.0,462.0,307,85,0,0,224,0,3000,10,2006,531451290,60,RL,Pave,IR2,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,1992.0,RFn,TA,TA,Y,WD ,Family
52.0,4330,1958,1958,0.0,681.0,127.0,0.0,808.0,838,477,0,1315,1.0,0.0,2,0,3,1,5,0,2.0,436.0,0,0,0,0,0,0,0,2,2007,903457130,190,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,2fmCon,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,Fa,TA,No,Rec,ALQ,GasA,TA,Y,SBrkr,TA,Typ,Gd,Detchd,1958.0,RFn,TA,TA,Y,COD,Abnorml
102.0,13514,2008,2008,285.0,1142.0,0.0,632.0,1774.0,1808,0,0,1808,1.0,0.0,2,0,3,1,7,1,3.0,850.0,200,26,0,0,0,0,0,3,2009,528138010,20,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,2008.0,Fin,TA,TA,Y,WD ,Normal
60.0,7200,1936,2007,0.0,350.0,210.0,0.0,560.0,575,560,0,1135,1.0,0.0,1,0,3,1,6,0,2.0,576.0,256,0,0,0,0,0,0,4,2009,909252020,70,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,Gd,Gd,PConc,Gd,Gd,No,ALQ,BLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Detchd,1971.0,RFn,TA,TA,Y,WD ,Normal
67.0,16285,2001,2002,0.0,0.0,0.0,1413.0,1413.0,1430,0,0,1430,0.0,0.0,2,0,3,1,6,0,2.0,605.0,0,33,0,0,0,0,0,6,2009,907194110,20,RL,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,2001.0,RFn,TA,TA,Y,WD ,Normal
60.0,10800,1927,2007,0.0,0.0,0.0,656.0,656.0,968,0,0,968,0.0,0.0,2,0,4,1,5,0,1.0,216.0,0,0,0,0,0,0,0,8,2007,535379060,30,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Detchd,1928.0,Unf,Fa,Fa,Y,WD ,Normal
59.0,17169,2007,2007,970.0,1684.0,0.0,636.0,2320.0,2290,0,0,2290,2.0,0.0,2,1,2,1,7,1,3.0,1174.0,192,30,0,0,0,0,0,8,2007,528118050,20,RL,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,CemntBd,CmentBd,BrkFace,Ex,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,2007.0,Fin,TA,TA,Y,New,Partial
69.0,21000,1953,1953,184.0,35.0,869.0,905.0,1809.0,2259,0,0,2259,1.0,0.0,2,0,3,1,7,2,2.0,450.0,166,120,192,0,0,0,0,10,2007,909428120,20,RL,Pave,Reg,Bnk,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,Gd,CBlock,Gd,TA,Mn,ALQ,Rec,GasA,TA,Y,SBrkr,Gd,Typ,Gd,Basment,1953.0,Unf,TA,TA,Y,COD,Abnorml
52.0,8741,1946,1950,0.0,0.0,0.0,1195.0,1195.0,1195,0,0,1195,0.0,0.0,2,0,4,2,8,0,0.0,0.0,118,0,0,0,0,0,0,7,2007,908225310,90,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,TA,Typ,Gd,Attchd,1981.0,Unf,TA,TA,N,WD ,Abnorml
88.0,14175,1956,1956,0.0,776.0,0.0,212.0,988.0,1188,0,0,1188,1.0,0.0,1,0,1,1,4,1,2.0,621.0,102,89,231,0,0,0,0,6,2008,905201110,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,PosA,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,Gd,Gd,GLQ,Unf,GasA,TA,Y,FuseA,TA,Typ,TA,Attchd,1956.0,Unf,TA,TA,Y,WD ,Normal
64.0,6410,1959,1959,0.0,332.0,243.0,301.0,876.0,876,0,0,876,0.0,0.0,1,0,3,1,5,0,1.0,320.0,0,0,0,0,0,0,0,3,2009,908203090,20,RL,Pave,Reg,HLS,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,AsbShng,AsbShng,BrkFace,TA,TA,CBlock,TA,TA,No,LwQ,Rec,GasA,TA,Y,FuseA,TA,Typ,Gd,Detchd,1959.0,Unf,TA,TA,Y,WD ,Normal
52.0,6240,1925,1950,0.0,152.0,0.0,628.0,780.0,848,0,360,1208,0.0,0.0,1,0,2,1,5,0,2.0,539.0,0,23,112,0,0,0,0,1,2009,903458170,30,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,FuseA,TA,Typ,Gd,Detchd,1962.0,Unf,TA,TA,Y,WD ,Normal
53.0,15401,2004,2004,296.0,1337.0,0.0,547.0,1884.0,1884,0,0,1884,1.0,0.0,2,0,2,1,7,1,3.0,670.0,214,76,0,0,0,0,0,9,2008,527214030,20,RL,Pave,IR1,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,2004.0,Fin,TA,TA,Y,WD ,Normal
